No.,Destination,longitude,latitude
0,北京首都国际机场,116.6031,40.0799
1,金茂北京威斯汀大饭店,116.461474,39.950726
2,北京富力万丽酒店,116.460055,39.897297
3,北京嘉里大酒店,116.457707,39.914174
4,国际投资大厦,116.3569728,39.92955117
5,北京王府井希尔顿酒店,116.413147,39.915507
6,北京JW万豪酒店,116.480016,39.911024
7,北京金融街威斯汀大酒店,116.359045,39.916964
8,北京丽都皇冠假日酒店,116.480014,39.97893
9,天通苑北二区,116.425513,40.071924
10,北京新世纪日航饭店,116.325934,39.937773
11,青年路|朝阳大悦城,116.517738,39.923257
12,北京香格里拉饭店,116.30658,39.944232
13,北京朝阳悠唐皇冠假日酒店,116.439008,39.922474
14,北辰五洲皇冠国际酒店,116.404585,39.990175
15,北京南站,116.379019,39.864995
16,北京站,116.427598,39.905044
17,朝阳|远洋天地,116.495727,39.91118
18,国家会议中心大酒店,116.387067,40.00179
19,三里屯太古里,116.450585,39.935142
20,北京西站,116.321307,39.895913
21,华清嘉园,116.3350237,39.99012183
22,方庄环岛,116.429317,39.86577
23,管庄|柏林爱乐,116.586609,39.92483
24,常营|中弘·北京像素,116.613195,39.926642
25,天辰大厦,116.434598,39.928217
26,太极大厦,116.3752663,39.98790806
27,朝阳公园-地铁站,116.47842,39.932447
28,融华世家,116.421082,39.998822
29,北京中奥马哥孛罗大酒店,116.408139,40.004958
30,回龙观-地铁站,116.327623,40.070664
